country	city
afghanistan	kabul
albania	tirana
algeria	algiers
angola	luanda
armenia	yerevan
australia	canberra
austria	vienna
azerbaijan	baku
bahamas	nassau
bahrain	manama
bangladesh	dhaka
barbados	bridgetown
belarus	minsk
belgium	brussels
belize	belmopan
benin	porto-novo
bhutan	thimphu
bolivia	sucre
bosnia	sarajevo
botswana	gaborone
brazil	brasilia
bulgaria	sofia
burkina	ouagadougou
burundi	bujumbura
cameroon	yaounde
canada	ottawa
chad	n'djamena
chile	santiago
china	beijing
colombia	bogotá
comoros	moroni
croatia	zagreb
cuba	havana
cyprus	nicosia
denmark	copenhagen
dominica	roseau
ecuador	quito
egypt	cairo
eritrea	asmara
estonia	tallinn
fiji	suva
finland	helsinki
france	paris
gabon	libreville
gambia	banjul
georgia	tbilisi
germany	berlin
ghana	accra
greece	athens
guinea	conakry
guinea-bissau	bissau
guyana	georgetown
haiti	port-au-prince
honduras	tegucigalpa
hungary	budapest
iceland	reykjavik
indonesia	jakarta
iran	tehran
iraq	baghdad
ireland	dublin
israel	jerusalem
italy	rome
jamaica	kingston
japan	tokyo
jordan	amman
kazakhstan	astana
kenya	nairobi
kiribati	tarawa
kosovo	pristina
kyrgyzstan	bishkek
laos	vientiane
latvia	riga
lebanon	beirut
lesotho	maseru
liberia	monrovia
libya	tripoli
liechtenstein	vaduz
lithuania	vilnius
macedonia	skopje
madagascar	antananarivo
malawi	lilongwe
maldives	malé
mali	bamako
malta	valletta
mauritania	nouakchott
micronesia	palikir
moldova	chisinau
mongolia	ulaanbaatar
montenegro	podgorica
morocco	rabat
mozambique	maputo
myanmar	naypyidaw
namibia	windhoek
nepal	kathmandu
netherlands	amsterdam
nicaragua	managua
niger	niamey
nigeria	abuja
norway	oslo
oman	muscat
pakistan	islamabad
palau	ngerulmud
paraguay	asunción
peru	lima
philippines	manila
poland	warsaw
portugal	lisbon
qatar	doha
romania	bucharest
russia	moscow
rwanda	kigali
samoa	apia
senegal	dakar
serbia	belgrade
seychelles	victoria
slovakia	bratislava
slovenia	ljubljana
somalia	mogadishu
spain	madrid
sudan	khartoum
suriname	paramaribo
sweden	stockholm
switzerland	bern
syria	damascus
taiwan	taipei
tajikistan	dushanbe
tanzania	dodoma
thailand	bangkok
timor-leste	dili
togo	lomé
tonga	nukuʻalofa
tunisia	tunis
turkey	ankara
turkmenistan	ashgabat
tuvalu	funafuti
uganda	kampala
ukraine	kiev
uruguay	montevideo
uzbekistan	tashkent
venezuela	caracas
vietnam	hanoi
yemen	sana'a
zambia	lusaka
zimbabwe	harare
