afghanistan persian
albania albanian
algeria arabic
andorra catalan
angola  portuguese
argentina   spanish
armenia armenian
australia   english
austria german
azerbaijan  turkic
bahamas english
bahrain arabic
bangladesh  bangla
barbados    english
belarus belorussian
belgium dutch
belize  english
benin   french
bhutan  dzongkha
bolivia spanish
botswana setswana
brazil  portuguese
brunei  malay
burundi kirundi
cambodia    khymer
comoros arabic
cuba    spanish
croatia croatian
cyprus  greek
dominica    english
ecuador spanish
egypt   arabic
eritrea afar
